gene_id,in_plasmodb_query,chromosomal,in_kucharski_review,in_analysed_panel,sequence_shipped,membership_reason,gene_symbol,product_description
PF3D7_1242600,True,True,False,True,True,retained from PlasmoDB query,nan,protein farnesyltransferase subunit alpha
PF3D7_1246300,True,True,False,False,False,excluded: reason not documented in Methods,,protein KIC4
PF3D7_1251200,True,True,True,True,True,retained from PlasmoDB query,nan,coronin
PF3D7_1252600,True,True,False,True,True,retained from PlasmoDB query,nan,"esterase, putative"
PF3D7_1302700,True,True,False,True,True,retained from PlasmoDB query,nan,"ATP-dependent RNA helicase DHR1, putative"
PF3D7_1303500,True,True,False,True,True,retained from PlasmoDB query,NHE,sodium/hydrogen exchanger
PF3D7_1310000,True,True,False,True,True,retained from PlasmoDB query,OSCP,"ATP synthase subunit O, mitochondrial, putative"
PF3D7_1311300,True,True,False,True,True,retained from PlasmoDB query,nan,"ATP synthase subunit gamma, mitochondrial"
PF3D7_1313800,True,True,False,False,False,excluded: reason not documented in Methods,,"conserved Plasmodium membrane protein, unknown function"
PF3D7_1318100,True,True,True,True,True,retained from PlasmoDB query,FD,ferredoxin
PF3D7_1318300,True,True,False,True,True,retained from PlasmoDB query,nan,"conserved Plasmodium protein, unknown function"
PF3D7_1322700,False,True,False,True,True,added: literature ART-R gene (not in PlasmoDB query),nan,
PF3D7_1324400,True,True,False,True,True,retained from PlasmoDB query,PRELID,"PRELI domain-containing protein, putative"
PF3D7_1335900,True,True,False,True,True,retained from PlasmoDB query,TRAP,thrombospondin-related anonymous protein
PF3D7_1339900,True,True,False,True,True,retained from PlasmoDB query,ABCB5,"ABC transporter B family member 5, putative"
PF3D7_1342900,True,True,False,False,False,excluded: reason not documented in Methods,,AP2 domain transcription factor AP2-HS
PF3D7_1343400,False,True,True,True,True,added: literature ART-R gene (Kucharski review),RAD5,
PF3D7_1343600,True,True,False,True,True,retained from PlasmoDB query,nan,"UDP-N-acetylglucosamine pyrophosphorylase, putative"
PF3D7_1343700,True,True,False,True,True,retained from PlasmoDB query,Kelch13,kelch protein K13
PF3D7_1343800,True,True,False,True,True,retained from PlasmoDB query,nan,"VPS13 domain-containing protein, putative"
PF3D7_1345400,False,True,False,True,True,added: literature ART-R gene (not in PlasmoDB query),nan,
PF3D7_1346400,False,True,False,True,True,added: literature ART-R gene (not in PlasmoDB query),nan,
PF3D7_1347500,True,True,False,True,True,retained from PlasmoDB query,ALBA4,DNA/RNA-binding protein Alba 4
PF3D7_1349500,False,True,False,True,True,added: literature ART-R gene (not in PlasmoDB query),nan,
PF3D7_1350900,False,True,False,True,True,added: literature ART-R gene (not in PlasmoDB query),ApiAP2,
PF3D7_1352100,True,True,False,True,True,retained from PlasmoDB query,ABCB6,"ABC transporter B family member 6, putative"
PF3D7_1356600,True,True,False,True,True,retained from PlasmoDB query,nan,"regulator of chromosome condensation, putative"
