Gene ID	source_id	Gene Name or Symbol	Transcript Product Description	Product Description
PF3D7_0612300	PF3D7_0612300.1	TMEM234	"transmembrane protein 234, putative"	"transmembrane protein 234, putative"
PF3D7_0616200	PF3D7_0616200.1	NDC80	kinetochore protein NDC80	kinetochore protein NDC80
PF3D7_0623200	PF3D7_0623200.1	FNR	ferredoxin--NADP reductase	ferredoxin--NADP reductase
PF3D7_0708700	PF3D7_0708700.1	COX4	"cytochrome c oxidase subunit 4, putative"	"cytochrome c oxidase subunit 4, putative"
PF3D7_0708800	PF3D7_0708800.1	HSP110c	heat shock protein 110	heat shock protein 110
PF3D7_0709000	PF3D7_0709000.1	CRT	chloroquine resistance transporter	chloroquine resistance transporter
PF3D7_0709100	PF3D7_0709100.1	N/A	Cg1 protein	Cg1 protein
PF3D7_0709400	PF3D7_0709400.1	N/A	Cg7 protein	Cg7 protein
PF3D7_0709700	PF3D7_0709700.1	PARE	prodrug activation and resistance esterase	prodrug activation and resistance esterase
PF3D7_0715800	PF3D7_0715800.1	DMT1	"drug/metabolite transporter DMT1, putative"	"drug/metabolite transporter DMT1, putative"
PF3D7_0716900	PF3D7_0716900.1	DMT2	drug/metabolite transporter DMT2	drug/metabolite transporter DMT2
PF3D7_0720700	PF3D7_0720700.1	PX1	phosphoinositide-binding protein PX1	phosphoinositide-binding protein PX1
PF3D7_0728000	PF3D7_0728000.1	eIF2alpha	eukaryotic translation initiation factor 2 subunit alpha	eukaryotic translation initiation factor 2 subunit alpha
PF3D7_0801700	PF3D7_0801700.1	SENP2	"sentrin-specific protease 2, putative"	"sentrin-specific protease 2, putative"
PF3D7_0807700	PF3D7_0807700.1	DegP	serine protease DegP	serine protease DegP
PF3D7_0810800	PF3D7_0810800.1	PPPK-DHPS	hydroxymethyldihydropterin pyrophosphokinase-dihydropteroate synthase	hydroxymethyldihydropterin pyrophosphokinase-dihydropteroate synthase
PF3D7_0813000	PF3D7_0813000.1	KIC7	protein KIC7	protein KIC7
PF3D7_0936700	PF3D7_0936700.1	N/A	"lysophospholipase, putative"	"lysophospholipase, putative"
